# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[-3.98723192e-08 -1.21521969e+02 -1.90049833e-07];[1.570796326794898, 1.570796326794898, 1.570796326794898, 1.570796326794898]
[-1.05122373e+01 -1.17961757e+02 -7.86324770e-08];[1.570796326794898, 1.570796326794898, 1.570796326794898, 0.7693696294505644]
[-2.71128884e+01 -1.12534126e+02  6.74232166e-09];[1.570796326794898, 1.570796326794898, 1.570796326794898, -0.01570142100919608]
[-4.42510493e+01 -1.04867628e+02 -7.02597192e-08];[1.570796326794898, 1.570796326794898, 1.570796326794898, -0.8011062601808828]
[-5.86671770e+01 -9.54470641e+01  3.32085576e-08];[1.570796326794898, 1.570796326794898, 1.570796326794898, -1.5865042873380408]
[   1.55843908 -129.26024764    9.4892187 ];[1.570796326794898, 1.570796326794898, 0.7693696294505644, 1.6352310332057736]
[ -10.12477526 -125.87663871    9.56031383];[1.570796326794898, 1.570796326794898, 0.7857252763351393, 0.7680546354421725]
[ -26.78882252 -120.70431738    9.79568998];[1.570796326794898, 1.570796326794898, 0.7853914876232079, -0.015674584396779465]
[ -44.16773223 -112.90737569    9.95455133];[1.570796326794898, 1.570796326794898, 0.7853982996377381, -0.8011068078668506]
[ -58.53213392 -103.28360385   10.20093336];[1.570796326794898, 1.570796326794898, 0.785398160617032, -1.5865042761607753]
[   1.26812558 -138.29155381   24.73640102];[1.570796326794898, 1.570796326794898, -0.01602853389014318, 1.6352310329776651]
[  -9.98509092 -135.43538107   24.88080652];[1.570796326794898, 1.570796326794898, 0.00032711293653352527, 0.7680546354468318]
[ -27.28310442 -130.17507626   25.33030445];[1.570796326794898, 1.570796326794898, -6.675774214969699e-06, -0.015674584396873668]
[ -45.30035712 -121.66296411   25.68585801];[1.570796326794898, 1.570796326794898, 1.362402901014282e-07, -0.801106807866847]
[ -59.67012094 -111.11014926   26.2473519 ];[1.570796326794898, 1.570796326794898, -2.7804140837025856e-09, -1.586504276160773]
[   0.86584997 -145.3246787    44.28301253];[1.570796326794898, 1.570796326794898, -0.8014266972875926, 1.6352310329776665]
[ -10.29654073 -143.08498365   44.30558227];[1.570796326794898, 1.570796326794898, -0.7850710504609159, 0.7680546354468332]
[ -28.59268975 -137.14103632   44.9744969 ];[1.570796326794898, 1.570796326794898, -0.7854048391716649, -0.015674584396874695]
[ -47.17442089 -127.1911821    45.63251267];[1.570796326794898, 1.570796326794898, -0.7853980271571569, -0.8011068078668476]
[ -61.17876983 -115.03952984   46.66656678];[1.570796326794898, 1.570796326794898, -0.785398166177863, -1.5865042761607724]
[   1.42867809 -145.73903129   61.2972423 ];[1.570796326794898, 1.570796326794898, -1.586824860685042, 1.6352310329776671]
[  -7.47247398 -142.10108301   61.9643259 ];[1.570796326794898, 1.570796326794898, -1.5704692138583596, 0.7680546354468338]
[ -29.84191959 -137.60746831   60.96576371];[1.570796326794898, 1.570796326794898, -1.5708030025691087, -0.015674584396874375]
[ -48.8165911  -126.53427724   61.2907846 ];[1.570796326794898, 1.570796326794898, -1.5707961905546117, -0.8011068078668474]
[ -62.56792825 -113.13728174   62.38461867];[1.570796326794898, 1.570796326794898, -1.5707963295753067, -1.5865042761607735]
[  11.96360014 -116.95121565   -0.70997453];[1.570796326794898, 0.7693696294505644, 1.6349104626391853, 1.6352310329776667]
[-4.93893451e-01 -1.14187920e+02  1.41241427e-02];[1.570796326794898, 0.7857252763351393, 1.5694878750429764, 0.7680546354468334]
[-1.61318368e+01 -1.09912860e+02 -2.96195390e-04];[1.570796326794898, 0.7853914876232079, 1.570823029891879, -0.015674584396874483]
[-3.21519870e+01 -1.03556096e+02  6.03395405e-06];[1.570796326794898, 0.7853982996377381, 1.570795781833736, -0.8011068078668474]
[-4.51335372e+01 -9.56011686e+01 -1.22853611e-07];[1.570796326794898, 0.785398160617032, 1.570796337916549, -1.5865042761607735]
[  10.983565   -125.57854989    9.97789985];[1.570796326794898, 0.7853981634541903, 0.7693696292235858, 1.6352310329776667]
[  -0.47524267 -122.59503819    9.95182186];[1.570796326794898, 0.7853981633962922, 0.7857252763397699, 0.7680546354468334]
[ -16.20069104 -118.37932281   10.1250497 ];[1.570796326794898, 0.7853981633974746, 0.7853914876231144, -0.015674584396874483]
[ -32.39518908 -111.67688593   10.28946795];[1.570796326794898, 0.7853981633974468, 0.785398299637739, -0.8011068078668474]
[ -45.23697078 -103.28899477   10.56967345];[1.570796326794898, 0.7853981633974468, 0.7853981606170329, -1.5865042761607735]
[  10.58569342 -135.05922721   25.52951722];[1.570796326794898, 0.7853981633974468, -0.016028533890144313, 1.6352310329776667]
[  -0.45817275 -132.56002574   25.47550774];[1.570796326794898, 0.7853981633974468, 0.0003271129365335749, 0.7680546354468334]
[ -16.76633233 -128.15907475   25.80569974];[1.570796326794898, 0.7853981633974468, -6.67577421497126e-06, -0.015674584396874483]
[ -33.45094834 -120.55859012   26.17317661];[1.570796326794898, 0.7853981633974468, 1.3624029010144874e-07, -0.8011068078668474]
[ -46.07985287 -111.05222205   26.7752923 ];[1.570796326794898, 0.7853981633974468, -2.7804140837030133e-09, -1.5865042761607735]
[  10.41462313 -142.40784881   45.06050587];[1.570796326794898, 0.7853981633974468, -0.8014266972875926, 1.6352310329776667]
[  -0.43103245 -140.61750493   44.66190504];[1.570796326794898, 0.7853981633974468, -0.7850710504609159, 0.7680546354468334]
[ -17.77951424 -135.71708506   45.06160829];[1.570796326794898, 0.7853981633974468, -0.7854048391716649, -0.015674584396874483]
[ -34.77104014 -126.56755275   45.64751242];[1.570796326794898, 0.7853981633974468, -0.7853980271571569, -0.8011068078668474]
[ -46.69315996 -115.40051495   46.53153101];[1.570796326794898, 0.7853981633974468, -0.785398166177863, -1.5865042761607735]
[  10.4833763  -143.51615598   61.11015351];[1.570796326794898, 0.7853981633974468, -1.586824860685042, 1.6352310329776667]
[  -0.41352801 -142.58428626   59.89158027];[1.570796326794898, 0.7853981633974468, -1.5704692138583596, 0.7680546354468334]
[ -18.73100328 -137.29626131   59.72783794];[1.570796326794898, 0.7853981633974468, -1.5708030025691087, -0.015674584396874483]
[ -35.58489493 -127.10291271   60.04437846];[1.570796326794898, 0.7853981633974468, -1.5707961905546117, -0.8011068078668474]
[ -46.81447285 -115.07953994   60.98670095];[1.570796326794898, 0.7853981633974468, -1.5707963295753067, -1.5865042761607735]
[  28.27903233 -111.5227082    -0.72944963];[1.570796326794898, -0.016028533946886366, 1.6349104626391853, 1.6352310329776667]
[ 1.52743856e+01 -1.10050286e+02  1.45115880e-02];[1.570796326794898, 0.0003271129376915668, 1.5694878750429764, 0.7680546354468334]
[-3.76814949e-01 -1.06871562e+02 -3.06405944e-04];[1.570796326794898, -6.675774238603012e-06, 1.570823029891879, -0.015674584396874483]
[-1.57394297e+01 -1.01368572e+02  6.28733576e-06];[1.570796326794898, 1.3624029058373853e-07, 1.570795781833736, -0.8011068078668474]
[-2.74599075e+01 -9.44097252e+01 -1.99587188e-07];[1.570796326794898, -2.780414093545556e-09, 1.570796337916549, -1.5865042761607735]
[  27.50787427 -120.50191125   10.16570767];[1.570796326794898, 5.6743144766233623e-11, 0.7693696292235858, 1.6352310329776667]
[  15.35557769 -118.49766011   10.11590467];[1.570796326794898, -1.1580233625762469e-12, 0.7857252763397699, 0.7680546354468334]
[  -0.37838188 -115.14700019   10.35709787];[1.570796326794898, 2.3633129848496247e-14, 0.7853914876231144, -0.015674584396874483]
[ -15.82598305 -109.01110476   10.60377661];[1.570796326794898, -4.823087724183018e-16, 0.785398299637739, -0.8011068078668474]
[ -27.32304843 -101.37725322   10.90701754];[1.570796326794898, 9.843036171801827e-18, 0.7853981606170329, -1.5865042761607735]
[  27.74779307 -129.94879142   25.88493405];[1.570796326794898, -2.0087828922043805e-19, -0.016028533890144313, 1.6352310329776667]
[  15.9435947  -128.2802444    25.79154187];[1.570796326794898, 4.099556922865959e-21, 0.0003271129365335749, 0.7680546354468334]
[  -0.37225333 -124.3951455    26.24124932];[1.570796326794898, -8.366442699726619e-23, -6.67577421497126e-06, -0.015674584396874483]
[ -16.10894307 -116.89925007   26.66023374];[1.570796326794898, 1.707437285658526e-24, 1.3624029010144874e-07, -0.8011068078668474]
[ -27.31004336 -107.94382586   27.13410192];[1.570796326794898, -3.484565889098944e-26, -2.7804140837030133e-09, -1.5865042761607735]
[  28.71436181 -136.86024338   45.55953105];[1.570796326794898, 7.111358957344905e-28, -0.8014266972875926, 1.6352310329776667]
[  16.99756567 -135.84369369   45.04479831];[1.570796326794898, -1.4512977463968947e-29, -0.7850710504609159, 0.7680546354468334]
[  -0.36029511 -130.9575048    45.45387633];[1.570796326794898, 2.9618321355037956e-31, -0.7854048391716649, -0.015674584396874483]
[ -16.21718894 -121.4892972    45.62057976];[1.570796326794898, -6.04455537857894e-33, -0.7853980271571569, -0.8011068078668474]
[ -26.93374388 -111.08370587   45.89464215];[1.570796326794898, 1.2335827303222678e-34, -0.785398166177863, -1.5865042761607735]
[  29.93977114 -137.43534783   61.19458958];[1.570796326794898, -2.5175157761678044e-36, -1.586824860685042, 1.6352310329776667]
[  17.9687674  -137.42531111   59.71702602];[1.570796326794898, 5.137787298301792e-38, -1.5704692138583596, 0.7680546354468334]
[  -0.3585617  -132.16611941   59.40605654];[1.570796326794898, -1.048528020061627e-39, -1.5708030025691087, -0.015674584396874483]
[ -16.1153144  -121.98200312   59.14999777];[1.570796326794898, 2.139853102166571e-41, -1.5707961905546117, -0.8011068078668474]
