# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle;Real Position
[   4.78309091 -100.14425719    1.59430721];[1.1329644910423464, -1.2378925982297073, 1.0247822594508367, -0.9140903410383462];[5.51, -107.07, 0.48]
[   4.78384605 -100.12203797    7.97358925];[1.3415719356717697, -1.2403085485836498, 0.80389373190353, -0.9162705041852435];[5.48, -107.06, 7.05]
[   4.78500831 -100.08919789   14.35850824];[1.5357928709732946, -1.2433545177583527, 0.5807269676262412, -0.9191544890140328];[5.4, -106.84, 13.89]
[   4.78612273 -100.06045698   20.7487492 ];[1.712993929144471, -1.242801823483328, 0.3588132687575901, -0.9191144245732252];[5.33, -106.64, 20.41]
[  -1.59550751 -100.04715343   23.94536431];[1.7945761543983558, -1.0266361653649658, 0.2483159881883737, -1.1345459581258628];[-1.5, -106.59, 23.73]
[  -1.59513304 -100.07437491   17.5529383 ];[1.6258481641812537, -1.0298232053842666, 0.4688316667255053, -1.1380835228106827];[-1.39, -106.71, 17.61]
[  -1.59475277 -100.10497133   11.16528887];[1.4400664506620064, -1.0280475843604615, 0.6917551276850884, -1.1363427223427212];[-1.29, -107.0, 10.92]
[  -1.59434925 -100.14026202    4.78321474];[1.2380201683978223, -1.0248928603419825, 0.9141914484635728, -1.1330845773952467];[-1.26, -107.09, 4.26]
[  -1.59413737 -100.15983823   -1.59413737];[1.0237524931644788, -1.0237525121431084, 1.1318875437272575, -1.131887564177628];[-1.25, -107.25, -2.4]
[  -1.59455453 -100.12197234   -7.97355448];[0.8033021527129328, -1.0264298052911662, 1.3409212565205537, -1.1346800295133914];[-1.25, -107.29, -8.99]
[  -1.59494493 -100.08915978  -14.35844041];[0.5801198062108097, -1.0293319166623873, 1.5351007949526385, -1.137637996252106];[-1.21, -107.27, -15.64]
[  -1.59531972 -100.06042583  -20.74864243];[0.35818053696607666, -1.029064534041911, 1.7122979695932772, -1.1371996686587815];[-1.21, -107.11, -22.19]
[  -7.97830765 -100.04718438  -23.94575044];[0.25013294544461395, -0.8061736024646049, 1.7963815150680453, -1.3422158024805833];[-8.02, -107.01, -25.42]
[  -7.97648739 -100.07443455  -17.55319875];[0.4705532150673182, -0.8084822354083645, 1.6277377041562373, -1.3462533947351056];[-8.04, -107.07, -19.5]
[  -7.97463061 -100.10507464  -11.16544308];[0.693398853603633, -0.806497560558844, 1.441884049069917, -1.344461907521413];[-8.05, -107.24, -12.8]
[  -7.97339188 -100.12594497   -4.78372552];[0.9161703395765489, -0.803803531758812, 1.2401822501432938, -1.341439598322651];[-8.05, -107.25, -6.3]
[  -7.97316008 -100.12976778    1.59447349];[1.1344441866830814, -0.8031229572806484, 1.0262115636168623, -1.3406582496833876];[-8.07, -107.26, 0.37]
[  -7.97366118 -100.1221225     7.97366121];[1.3426766495367315, -0.8049205957577326, 0.8049205770933322, -1.3426767087508154];[-8.09, -107.23, 7.02]
[  -7.97556973 -100.08923391   14.35864575];[1.536967592682434, -0.8078235851557043, 0.5817989570564688, -1.3458295895146644];[-8.17, -107.03, 13.85]
[  -7.97739559 -100.06048289   20.74896193];[1.7141706376843884, -0.8080590859283532, 0.3599486409110292, -1.3452091411505973];[-8.25, -106.82, 20.27]
[ -14.36071661 -100.07419338   17.5538173 ];[1.6298789567999885, -0.58510740128035, 0.4731279208046545, -1.5395325277573175];[-14.8, -106.78, 17.58]
[ -14.35853891 -100.09297122   11.16663626];[1.4443972837847747, -0.5830013871637456, 0.6959122595743116, -1.5380985564596892];[-14.7, -107.06, 10.84]
[ -14.35755425 -100.10042543    4.78466543];[1.2429840608220033, -0.5805162306655018, 0.9188601071457911, -1.5353825002776365];[-14.67, -107.1, 4.2]
