# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ -7.96731463 -90.6069233   -7.96731613];[1.061363906701676, -1.061344934475184, 1.6795235212479058, -1.6795263229720756]
[-7.96694608e+00 -9.06171798e+01 -2.50304629e-06];[1.3814206441162875, -1.0560902909750411, 1.3813960587272032, -1.6726905688357072]
[ -7.96731265 -90.60691655   7.96731096];[1.6795378274922064, -1.0613510577303942, 1.0613345684998268, -1.6795348588461332]
[ -7.96969649 -90.556093    15.94937966];[1.940654151721303, -1.0720893494104726, 0.7406446871248006, -1.693460492949137]
[ -7.97205428 -90.51061329  23.94490708];[2.160109130639046, -1.0761931904059463, 0.4309049884795718, -1.6981210003677356]
[ -7.97432777 -90.47678987  31.94726724];[2.3435798989792374, -1.0653352701149754, 0.13447305349877747, -1.682383379612519]
[ -7.97723731 -90.44390006  39.95226013];[2.500027629506483, -1.036099017406245, -0.15222487498225784, -1.6418553985784439]
[-8.12863421e-05 -9.04307133e+01  3.99531979e+01];[2.4944294742776725, -1.3494389535795874, -0.15635160710314946, -1.348721827579732]
[-1.05686902e-06 -9.04628115e+01  3.19486220e+01];[2.3369897340867576, -1.3846410063750403, 0.1303508920555701, -1.3846392103329994]
[ 3.30870119e-08 -9.05009008e+01  2.39459977e+01];[2.153037576371106, -1.3982760286325335, 0.4266676503956386, -1.3982763949803299]
[-1.53753104e-08 -9.05538125e+01  1.59497759e+01];[1.9335815213207637, -1.3939677160610309, 0.7361040445961811, -1.3939676228009814]
[-1.70640841e-08 -9.06058234e+01  7.96754697e+00];[1.6731433202136006, -1.3817967335676307, 1.0564015767024835, -1.3817966394527736]
[-1.77624396e-08 -9.06648652e+01  6.77969033e-07];[1.3741623364302438, -1.374168284605788, 1.3741750858601645, -1.3741682410483194]
[-1.63751846e-08 -9.06058160e+01 -7.96754638e+00];[1.0563856046092015, -1.3818040406275507, 1.6731457272961952, -1.3818039966344144]
[-1.54143264e-08 -9.05538105e+01 -1.59497777e+01];[0.736092906104697, -1.3939737991788526, 1.93357793907693, -1.393973702537071]
[-1.37554853e-08 -9.05009013e+01 -2.39460000e+01];[0.4266647605257321, -1.3982750244136666, 2.15303812403298, -1.398274929206691]
[-1.24680461e-08 -9.04628121e+01 -3.19486222e+01];[0.13035642759501115, -1.3846324929407134, 2.3369957751767, -1.3846324001054733]
[-1.04201836e-08 -9.04306828e+01 -3.99531998e+01];[-0.15634175716898982, -1.3490765493626435, 2.4944365206064223, -1.3490765183030322]
[  7.97715276 -90.443921   -39.95226483];[-0.15219865549506173, -1.6422313751973525, 2.5000613213438454, -1.0357363879264512]
[  7.97432205 -90.4767884  -31.9472694 ];[0.13448093916341936, -1.6824260569426805, 2.343575447761615, -1.0653080236459953]
[  7.97205448 -90.51061147 -23.9449078 ];[0.43092156168717743, -1.698139446965433, 2.1601046651903237, -1.076178256546536]
[  7.96969911 -90.55609667 -15.94938152];[0.7406694413165817, -1.693457851353887, 1.9406479068376516, -1.0720790489414191]
[  7.96731456 -90.60692334  -7.96731613];[1.0613639123527263, -1.6795264489981139, 1.6795235179757986, -1.061344748481447]
[ 7.96694602e+00 -9.06171796e+01 -3.02260465e-06];[1.3814210505004023, -1.672690761712592, 1.3813956508557337, -1.0560900635268893]
[  7.96731257 -90.60691653   7.96731096];[1.679537832219701, -1.6795350458497011, 1.0613345684939084, -1.061350829915886]
[  7.96969642 -90.55609295  15.94937967];[1.9406541537971884, -1.6934606174152511, 0.740644681289429, -1.0720891219868018]
[  7.97205423 -90.51061324  23.94490708];[2.160109157272046, -1.6981211259097009, 0.43090498660552023, -1.076193035481303]
[  7.97432771 -90.47678984  31.94726724];[2.343579920639852, -1.6823834964932467, 0.13447304443368463, -1.0653350733394837]
[  7.97723725 -90.44390013  39.95226012];[2.50002764263836, -1.641855566677937, -0.1522248916329213, -1.0360988223272514]
[ 15.96090731 -90.45306477  39.95256822];[2.5103860484537424, -1.8990211468042284, -0.1430172836284259, -0.7229022595231435]
[ 15.95615779 -90.48589064  31.94682286];[2.356279630944627, -1.9423609466822254, 0.14336597929266665, -0.7463515424009959]
[ 15.95240575 -90.51866008  23.94401848];[2.17360562689577, -1.959061349967301, 0.4396551734089982, -0.7540917803762949]
[ 15.94863841 -90.56032882  15.94864461];[1.9537046606392496, -1.9537253562399393, 0.7495119755186722, -0.7494567661418343]
[ 15.94841072 -90.56684016   7.96913141];[1.6929794480694573, -1.9401780210808353, 1.0718287202215173, -0.7404284526811237]
[ 1.59478650e+01 -9.05750211e+01  1.12959438e-05];[1.3931795973699868, -1.932672057112956, 1.3932556439459387, -0.7356678058411985]
[ 15.94840791 -90.56683845  -7.96911036];[1.0717462791531083, -1.9401889356273148, 1.69304043431371, -0.7404389844830127]
[ 15.94863578 -90.56032255 -15.94862905];[0.7494328525676606, -1.9537265886306263, 1.9537475554100086, -0.7494808498336782]
[ 15.95240757 -90.51866191 -23.94400735];[0.4395857771494194, -1.9590284923907582, 2.1736302007454746, -0.754134343438744]
[ 15.95616906 -90.48589385 -31.94681305];[0.14331100120155205, -1.9422820152340696, 2.356285102000696, -0.7464199963949243]
[ 15.96098784 -90.4530514  -39.95255513];[-0.1430922777232822, -1.8986440376132878, 2.510331168370504, -0.7232651546373128]
[ 23.9544523  -90.45309591 -39.95419613];[-0.13579656189794664, -2.1144450512759363, 2.5103071281086873, -0.4212574020581665]
[ 23.94903056 -90.48471306 -31.94785273];[0.14943473962592507, -2.159827555450421, 2.3588919759797693, -0.4395772708605141]
[ 23.94469522 -90.51528506 -23.94471244];[0.4446235092272229, -2.1773898075075118, 2.177334366506258, -0.44448691069292456]
[ 23.94288382 -90.52913516 -15.95147641];[0.7539920462196517, -2.1731362102538068, 1.9585004180058685, -0.43941566184098413]
[ 23.94270637 -90.53099808  -7.97098264];[1.0757155762673052, -2.1592031141919588, 1.69717842417094, -0.4305703114526773]
[ 2.39428086e+01 -9.05304378e+01 -2.85247080e-05];[1.3973076774029414, -2.1517671615478418, 1.3971149818786344, -0.426197769434314]
[ 23.9427036  -90.53100679   7.97092921];[1.6973505194736802, -2.1592252659593356, 1.0755121435343955, -0.43059368909223633]
[ 23.94288285 -90.52913421  15.95143278];[1.9586366859862931, -2.173152584656841, 0.7537929418693872, -0.43946764336453564]
[ 23.94470044 -90.51528128  23.94468119];[2.1774229275546895, -2.177363468158311, 0.4444436927474532, -0.4445715181609486]
[ 23.94904437 -90.48472564  31.94782865];[2.358929491709064, -2.1597313215352427, 0.14928702774471414, -0.43969418237058705]
[ 23.95452024 -90.45309253  39.95417406];[2.5102757570782037, -2.1141005337363845, -0.13593311061705599, -0.4216045614386842]
[ 31.95602905 -90.44148951  39.95722795];[2.488061062369475, -2.291987220375094, -0.13605201728023664, -0.13255385476546566]
[ 31.95073977 -90.47098864  31.95076804];[2.339141768054418, -2.33924844910694, 0.1469034948709596, -0.1466823890582329]
[ 31.94759234 -90.48698445  23.94883038];[2.1595615100581824, -2.358802633811023, 0.4397754152028791, -0.14925918514986328]
[ 31.94555267 -90.497347    15.9551842 ];[1.9416411625522767, -2.355751832935112, 0.7463432314856134, -0.1431313986046816]
