# extended ;1
# legs ;['blueleg']
# legs model ;['tetra']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[-7.98312586e+00 -1.06280175e+02  2.35945088e-03];[0.6349664628572543, -0.4472192936805311, 0.6401641832596002, -0.8244709769162144]
[  -7.98112025 -106.28291797    7.98570024];[0.8193710266116879, -0.44093841362278247, 0.4469920658451562, -0.8215747701272333]
[  -7.97985956 -106.29014001   15.96911581];[0.9905310879358198, -0.4276139059293419, 0.24623652043352043, -0.8101511911278463]
[  -7.97942757 -106.30053445   23.95255674];[1.1465690864930598, -0.4058613937202642, 0.040412937430655105, -0.7886414155311999]
[ 8.52592720e-03 -1.06283956e+02  3.19382201e+01];[1.291430061811826, -0.5650019847379611, -0.170385853814251, -0.5808198715806352]
[ 7.01650709e-03 -1.06293508e+02  2.39504073e+01];[1.1505966499838058, -0.5988967599869757, 0.03945812820499861, -0.6109177014531351]
[ 4.83128966e-03 -1.06291784e+02  1.59657640e+01];[0.994917628828201, -0.6218290593905638, 0.24570741154657977, -0.6296835896588205]
[ 2.31736409e-03 -1.06276433e+02  7.98322952e+00];[0.8246786226910106, -0.6357221071186457, 0.447410005818621, -0.6393024856707626]
[-5.92264450e-05 -1.06251743e+02 -4.47058435e-05];[0.6413752710838801, -0.6420405164986719, 0.6421998619044866, -0.6412961937023912]
[-2.44864056e-03 -1.06276703e+02 -7.98331267e+00];[0.446657957018056, -0.6400796869724165, 0.8255477988479478, -0.6350127801552167]
[-4.96789428e-03 -1.06292026e+02 -1.59658418e+01];[0.24505446694862928, -0.6304906740459955, 0.9958127446527373, -0.6211540571836538]
[-7.14868833e-03 -1.06293674e+02 -2.39504831e+01];[0.038914776071975465, -0.6117417621721596, 1.1515004284983446, -0.5982449539890065]
[-8.66688275e-03 -1.06284085e+02 -3.19382655e+01];[-0.1708024625441804, -0.5816763820452435, 1.292409591437483, -0.5642635901285207]
[   7.97926654 -106.30068121  -23.9526351 ];[0.03991498635467412, -0.7895558993618519, 1.1476061981709287, -0.40512118710426887]
[   7.97971394 -106.290219    -15.9692271 ];[0.24561761454362446, -0.8110621920748582, 0.99150419463642, -0.426892174267248]
[   7.98097388 -106.28298186   -7.9858171 ];[0.44625082845043124, -0.8224736010785206, 0.8203024787890694, -0.4401978856778732]
[ 7.98297015e+00 -1.06280374e+02 -2.47726515e-03];[0.6393122650599098, -0.8253499133262412, 0.6358205769933644, -0.4464592687328563]
[   7.98569011 -106.28275973    7.98100436];[0.8216844397583017, -0.8201769327000561, 0.4410673131535889, -0.44610035113107055]
[   7.98867813 -106.30246236   15.96324861];[0.9902420561901033, -0.8058623018577099, 0.23907261981822803, -0.4381309605840432]
[   7.99322311 -106.30587286   23.94763424];[1.1443433424068163, -0.781535741530828, 0.03278042674519012, -0.4215203208212356]
[  15.97824078 -106.32055959   23.94712938];[1.128207646664965, -0.9508610986129736, 0.02039436486440155, -0.22393240844202356]
[  15.97198245 -106.31300877   15.96273378];[0.9765684509374157, -0.976639106304742, 0.22617093105943892, -0.2388134057545744]
[  15.96870973 -106.29385955    7.97948405];[0.8102120699246689, -0.9912460025773149, 0.4276710241724945, -0.2453853850573568]
[ 1.59648048e+01 -1.06299828e+02 -5.08811308e-03];[0.6296432577822112, -0.9954861406015157, 0.621837073387904, -0.24480715621075644]
[  15.9626805  -106.30689474   -7.98865774];[0.43822622670506717, -0.9909561897090389, 0.8058712176337481, -0.23825052483558778]
[  15.96264124 -106.31341428  -15.97208675];[0.23900817511292452, -0.9773531574290486, 0.9767791737151257, -0.225422449704395]
[  15.96424271 -106.32256269  -23.95540504];[0.034372420803828824, -0.95309456103408, 1.1324227195037166, -0.20500352329872248]
[  23.94627042 -106.32548758  -15.97808475];[0.22414012322993104, -1.1289520504130979, 0.9508898282922723, -0.01953477201898185]
[  23.94604981 -106.31485469   -7.99319488];[0.4215492529071866, -1.14501967324301, 0.7814228686508878, -0.031946033833591875]
[ 2.39483382e+01 -1.06305561e+02 -7.44617261e-03];[0.6107957317400191, -1.1511452165248066, 0.5988054552921388, -0.03856438793272293]
[  23.95124466 -106.3086067     7.97874626];[0.7885876441978864, -1.1472666677437167, 0.4058279739632364, -0.039562192981038996]
[  23.95465694 -106.32665133   15.96383898];[0.9521599409311429, -1.1322616480998862, 0.20565818105501163, -0.03404593716200613]
[ 3.19352202e+01 -1.06297649e+02 -8.88022965e-03];[0.5804671725566288, -1.2918500949270704, 0.5654797767132019, 0.1713684303083181]
[  31.93571939 -114.2716154   -15.98462293];[0.04270601279096653, -1.0584341479021906, 0.7016030667654266, 0.2969149238272603]
[  31.93475423 -114.27370449   -7.99628035];[0.22134486327151257, -1.0793434868048448, 0.5465061434992907, 0.283009939769395]
[ 3.19307759e+01 -1.14294082e+02 -7.10931842e-03];[0.39166377564089305, -1.085919853283098, 0.38131978154554347, 0.27687151195628296]
[  31.93213762 -114.29845932    7.98163143];[0.5533278523803974, -1.0795002613331854, 0.20814546429177766, 0.27844799853647506]
[  31.93745772 -114.29108706   15.96999836];[0.7051000417295306, -1.0596306289414157, 0.02808667109218947, 0.2881837298667134]
[  23.96433881 -114.27546529   23.95498952];[0.8913600812574435, -0.8914546250343369, -0.12514189605660145, 0.11307741289116321]
[  23.95743004 -114.29037909   15.96822675];[0.747247319087181, -0.9233728801600934, 0.06274286160570441, 0.0935732968903498]
[  23.95293592 -114.29423488    7.98154458];[0.592454425485673, -0.9422423154812636, 0.2447247169065591, 0.08328539938014098]
[ 2.39515794e+01 -1.14287470e+02 -5.41784054e-03];[0.42800398917601834, -0.9486243445390876, 0.4201299214701054, 0.08142790889995036]
[  23.95317352 -114.27289198   -7.99305456];[0.2550809313001479, -0.9427522407268453, 0.5876353166490421, 0.0876516036373309]
[  23.9529952  -114.27700375  -15.97969245];[0.07441409537517633, -0.9238269124828404, 0.7450618566704289, 0.10233743454459417]
[  23.95488751 -114.27572387  -23.96449662];[-0.1127427808450177, -0.8921117030524999, 0.8914880674988203, 0.12574782372360374]
[  15.97070289 -114.28396338  -31.93922054];[-0.287720966269712, -0.7059945760196196, 1.0598212695741072, -0.027543563051688896]
[  15.96856315 -114.28695437  -23.95812703];[-0.09322370335007868, -0.7480831742923064, 0.9235473931316894, -0.06208475788308748]
[  15.9673597  -114.28794376  -15.97452224];[0.09509807792853579, -0.7771922804506463, 0.7752708759041731, -0.08652740349820268]
[  15.96764173 -114.28495118   -7.98959773];[0.27729932988658434, -0.7942442860435821, 0.6161200188777551, -0.10175309199581112]
[ 1.59692161e+01 -1.14280965e+02 -3.65808314e-03];[0.4525332533687067, -0.7996614285182964, 0.4474402628980726, -0.10826131271746561]
[  15.97070692 -114.28919018    7.98201573];[0.6192048319751815, -0.793215547614384, 0.2705601229592066, -0.10596231028562085]
[  15.97434771 -114.28773495   15.96741758];[0.7764095658397323, -0.7752018722271776, 0.08727958078184611, -0.09483057523248149]
[  15.97979197 -114.27318681   23.95369996];[0.9231217551488177, -0.7451000224695515, -0.10162807530885865, -0.07417719763866559]
[  15.98493801 -114.26431558   31.93749051];[1.0580368056733815, -0.7016087512970273, -0.2964901148014268, -0.042629569291975145]
[   7.99625969 -114.2632396    31.93732734];[1.078775905855122, -0.5466699990977798, -0.2822707556634098, -0.22128144363402966]
[   7.99308153 -114.26584594   23.95442629];[0.9421720240416187, -0.5876917527265482, -0.08690312257640687, -0.25497558871163645]
[   7.98957397 -114.28106064   15.96811324];[0.793589279123838, -0.6160794305997443, 0.10255785342057203, -0.27717268647925075]
[   7.98670269 -114.28480164    7.98307757];[0.6345564372081491, -0.6332294850199528, 0.2864402078076056, -0.28936784551961503]
[ 7.98463814e+00 -1.14283126e+02 -1.90885028e-03];[0.466131387338855, -0.6395952779920963, 0.46388278256208865, -0.29215051628283073]
[   7.98305612 -114.28495919   -7.98685539];[0.289563911088375, -0.6351976696675954, 0.6333481161693909, -0.2856640167601222]
[   7.98221613 -114.28576885  -15.97123118];[0.10627950548937962, -0.6199584264669569, 0.7933716600292476, -0.2698490543588305]
[   7.98197244 -114.28713854  -23.95425022];[-0.08291293295581165, -0.5932579882241227, 0.9425207828149711, -0.24412291467198133]
[   7.98229016 -114.28759596  -31.93482555];[-0.2779745908616088, -0.5542282734456423, 1.0798152786293833, -0.20762316819558474]
[-6.75592016e-03 -1.14280065e+02 -3.19342843e+01];[-0.276375289773788, -0.39254804233421137, 1.0863231732699081, -0.3808120380279314]
[-5.22909295e-03 -1.14277176e+02 -2.39534793e+01];[-0.0810514399067686, -0.4288091714086061, 0.9490336282690703, -0.4195161854782068]
[-3.57284010e-03 -1.14274247e+02 -1.59701139e+01];[0.10859132688773007, -0.4532952027205635, 0.7999415130225223, -0.446714090020073]
[-1.89362443e-03 -1.14279600e+02 -7.98498249e+00];[0.2923706399994072, -0.4668055492418096, 0.6398365797863113, -0.46308967470610496]
[-8.17338467e-05 -1.14272646e+02 -7.04504331e-05];[0.4697967839950748, -0.47042960914555526, 0.4705530286512911, -0.469640883731651]
[ 1.72598070e-03 -1.14279515e+02  7.98484486e+00];[0.6390014870367627, -0.46386856614131755, 0.2930319942117921, -0.4660081095376504]
[ 3.40963401e-03 -1.14274196e+02  1.59699863e+01];[0.799044028084361, -0.44748172234347094, 0.10914535617759218, -0.4524884670864733]
