# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ -7.97107119 -94.5640833    7.97107101];[1.5323697345487546, -0.9498772101315356, 0.9498783952759239, -1.5323689804877931]
[ -7.97081093 -94.56946149   3.98483709];[1.3944853802655048, -0.9471721845383024, 1.101209507242638, -1.528990960880648]
[-7.97059281e+00 -9.45738709e+01  2.45584578e-07];[1.2500402059104125, -0.9461025731685176, 1.250041130918634, -1.5276342219900432]
[ -7.97081064 -94.56946216  -3.98483669];[1.1012080880718391, -0.9471726064118666, 1.3944854518272545, -1.528991517783332]
[ -7.97107071 -94.56408436  -7.97107088];[0.9498768793299577, -0.9498779113642887, 1.5323687928789942, -1.5323694873019893]
[ -7.97235964 -94.53864848 -11.96094984];[0.7984710203044826, -0.9538778497220675, 1.6630430971174777, -1.5374134741577503]
[-11.96104472 -94.53758109 -11.96104451];[0.8017938000218584, -0.8017918974659293, 1.6674163865382026, -1.6674162164956385]
[-11.96057949 -94.54378664  -7.97209866];[0.9537468922349538, -0.798357270715149, 1.5372175660454843, -1.6628406671156721]
[-11.96023706 -94.54853606  -3.9853809 ];[1.105270529706552, -0.7957501226179057, 1.3990564839220094, -1.6592870442251841]
[-1.19599599e+01 -9.45524028e+01 -4.73260289e-07];[1.2543509894776852, -0.7947352151345064, 1.254349099253997, -1.657872901423499]
[-11.96023659 -94.54853793   3.98538004];[1.3990572909969388, -0.7957506681945281, 1.1052679988424927, -1.6592874517653893]
[-11.96057879 -94.54378825   7.97209811];[1.5372171882094747, -0.7983582784241763, 0.9537441440114456, -1.6628409114812006]
[-11.96104442 -94.537582    11.96104469];[1.6674161829589214, -0.801793811660134, 0.8017918397520409, -1.6674163728807536]
[-15.95256405 -94.52977857   3.98588558];[1.4030170217128421, -0.6452101936091333, 1.1088785589975558, -1.780848963654359]
[-1.59522612e+01 -9.45330685e+01  8.99316312e-07];[1.2581168534847154, -0.6442382958695361, 1.2581207240714638, -1.7793997563618373]
[-15.95256449 -94.52977603  -3.98588238];[1.1088579378599681, -0.6452126117306113, 1.4030342684190724, -1.780853125581228]
[-2.39429395e+01 -9.84810848e+01 -1.97464605e-06];[1.1294682339462165, -0.2763454347299557, 1.1294456419601402, -1.8498658885609611]
[-19.94950358 -98.48094665  11.96601383];[1.524988873193026, -0.4207489926273494, 0.7072824482548855, -1.7517291273809563]
