# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[-7.97423715e+00 -1.06480730e+02  1.55065635e-06];[0.9041488232006513, -0.6515870774593769, 0.9041503414171498, -1.1462918669832944]
[  -7.97488079 -106.47235984    7.97488011];[1.1462303441967636, -0.6517902444175105, 0.651805659688654, -1.1462144917533894]
[  -7.97701979 -106.4419663    15.95548704];[1.372673624295506, -0.6509474600949282, 0.3951773530834488, -1.144256501665218]
[  -7.97921521 -106.41464393   23.94163101];[1.5797418933057785, -0.6446900783556215, 0.13782348871154715, -1.1350161339241973]
[-4.32191699e-06 -1.06396415e+02  3.19294576e+01];[1.7690869050520492, -0.8759934722264356, -0.11983480437052263, -0.8759815208173062]
[ 3.78005689e-10 -1.06414469e+02  2.39411429e+01];[1.5804922243555437, -0.895065045777069, 0.13729440897044876, -0.8950650556910814]
[ 1.42050195e-09 -1.06441677e+02  1.59551580e+01];[1.3731491408098688, -0.9029293011784651, 0.3948913531162562, -0.9029293309641457]
[ 1.38450155e-09 -1.06472026e+02  7.97470489e+00];[1.1465556659735359, -0.9043864839140991, 0.6517671186445348, -0.904386513279256]
[ 8.07044765e-10 -1.06505621e+02 -1.87701513e-06];[0.9036662523166369, -0.9036639728383997, 0.9036642486708879, -0.9036639890558035]
[ 7.59789846e-10 -1.06472016e+02 -7.97470594e+00];[0.6517809807766619, -0.9043725058082087, 1.1465667053803181, -0.9043725220786817]
[ 2.09082142e-10 -1.06441658e+02 -1.59551563e+01];[0.39491226353804654, -0.902909058707208, 1.3731682161626044, -0.9029090688547773]
[-1.20802721e-09 -1.06414448e+02 -2.39411406e+01];[0.13732086874610472, -0.8950420309709152, 1.5805129867520509, -0.8950420011081006]
[-1.20985485e-09 -1.06396442e+02 -3.19294603e+01];[-0.11987451497559548, -0.8760197148049109, 1.7690527664637719, -0.8760196848005009]
[   7.97920337 -106.41469719  -23.941638  ];[0.13775957540126177, -1.1350798033642175, 1.5796757434634605, -0.6447402538619091]
[   7.97701579 -106.44198599  -15.95548907];[0.3951575976510783, -1.1442782732104053, 1.3726554694119049, -0.6509659295915682]
[   7.97487891 -106.47235872   -7.97488008];[0.6517924174327697, -1.1462305919763949, 1.1462196586486464, -0.6518036040555485]
[ 7.97423715e+00 -1.06480730e+02  1.54830383e-06];[0.9041488376755757, -1.1462918663206487, 0.904150336278672, -0.6515870949189804]
[   7.97488085 -106.47235937    7.97487977];[1.1462299436155479, -1.146215800041322, 0.6518050364544643, -0.6517912265504959]
[   7.97701979 -106.44196629   15.95548704];[1.3726736165721074, -1.1442564565755955, 0.39517734851525627, -0.6509474777103359]
[   7.97921521 -106.41464393   23.94163101];[1.5797418902693865, -1.1350161470514735, 0.13782348994710414, -0.644690094462774]
[  15.96067    -106.41484951   23.94304286];[1.5753629535162836, -1.358700016659862, 0.13798694813309437, -0.38996056626277453]
[  15.95646376 -106.44243299   15.95646835];[1.3691405650993336, -1.3691587949747563, 0.39450631353351795, -0.3945214279002383]
[  15.95463084 -106.45042418    7.97657745];[1.1439964949926205, -1.3723806249447426, 0.6507671231985879, -0.3950293253345497]
[ 1.59534498e+01 -1.06458381e+02 -7.64177537e-07];[0.9024669154348123, -1.3725892899908991, 0.9024674950707391, -0.39462348257140684]
[  15.95463218 -106.45043945   -7.97657557];[0.6507755124970005, -1.3723655605840268, 1.1440063611834594, -0.3950181923754115]
[  15.95646843 -106.44243421  -15.956463  ];[0.3945222657739616, -1.3691348698684696, 1.3691565539670123, -0.39450362490518937]
[  15.96067884 -106.41482699  -23.94303944];[0.13800967376378653, -1.358675611722171, 1.5753869629649322, -0.3899434393276344]
[  23.94189017 -106.42300449  -15.95991483];[0.38974596295244457, -1.5751493556189258, 1.3583276070330863, -0.1379565233095112]
[  23.93935765 -106.43065557   -7.97840997];[0.6443392445590255, -1.5791602255048138, 1.1345102980129833, -0.1376091402421753]
[ 2.39377419e+01 -1.06438172e+02 -5.65985789e-07];[0.894403412641601, -1.579652545181671, 0.894397568828733, -0.13700823750243268]
[  23.93935846 -106.43066904    7.97840599];[1.134523065270649, -1.5791449672753157, 0.6443410388023821, -0.13759855491029255]
[  23.94190118 -106.42308864   15.95988418];[1.3584088410901263, -1.5750596038866749, 0.3898128328957601, -0.13787594119095142]
[ 3.19254159e+01 -1.06418867e+02 -1.83405514e-04];[0.8756037000331784, -1.7682897183402866, 0.8742341518343882, 0.11932485137761346]
[  31.9169617  -114.35791314  -15.96075855];[0.2095379805055902, -1.5048289968587203, 1.0818193246241798, 0.243812069939277]
[  31.91376284 -114.36408227   -7.97974632];[0.43822331519044344, -1.5162448751471127, 0.8775309152941494, 0.24095433803399996]
[ 3.19116248e+01 -1.14370302e+02 -2.25113125e-06];[0.6618664976286119, -1.5194447523868087, 0.6618671794724351, 0.24037866966930468]
[  31.91376156 -114.36409075    7.97973986];[0.8775373092698087, -1.5162267577547248, 0.4382324898967383, 0.2409673130722236]
[  31.91702168 -114.35774258   15.96082967];[1.0819517693650587, -1.5052382536927875, 0.20896558394595102, 0.24350672457674516]
[  23.93831508 -114.36464475   23.93827731];[1.3039604083250171, -1.3038022319989273, -0.009935692055584179, 0.010106157969724694]
[  23.93491106 -114.37165706   15.95727187];[1.1101026138205752, -1.3225506205733313, 0.22582885801638544, 0.0023812287663269593]
[  23.93226505 -114.37821591    7.9778451 ];[0.9028869582645678, -1.331909084617331, 0.45784702731524657, -0.0008535747845893615]
[ 2.39305462e+01 -1.14384748e+02  5.78847291e-07];[0.6843604864450538, -1.3345469075450591, 0.6843583713835668, -0.0016311331980752297]
[  23.93226518 -114.37822604   -7.97784158];[0.45785961725192587, -1.331890365528503, 0.9028949955929892, -0.0008402318656680896]
[  23.93491165 -114.37167575  -15.95726293];[0.2258518592910803, -1.3225162824627164, 1.110118347106857, 0.0024059636563704134]
[  23.93830031 -114.36463926  -23.93829146];[-0.010002339334397176, -1.3038579986436811, 1.3038933412136111, 0.010038976814869705]
[  15.96157628 -114.35119698  -31.91854269];[-0.2433415455496867, -1.082076838052511, 1.5055614090299878, -0.20898746443513755]
[  15.95803253 -114.36505048  -23.9360852 ];[-0.002329145926269767, -1.110341457515036, 1.3227484428894372, -0.2259641745167732]
[  15.95410983 -114.38484407  -15.95411392];[0.23496832020571612, -1.126536146736123, 1.126510860043909, -0.23499220670118873]
[  15.95220896 -114.39164623   -7.97618053];[0.46875105746167306, -1.134658952633906, 0.9174494826052052, -0.23909869582753873]
[ 1.59509806e+01 -1.14398481e+02  5.39749060e-07];[0.6970921271090111, -1.1368839971049614, 0.6970945955743532, -0.24012796463394578]
[  15.95220977 -114.39165714    7.97617823];[0.9174596566954876, -1.1346400661624452, 0.4687663367403671, -0.2390843829097904]
[  15.9541137  -114.38484536   15.95410915];[1.1265317728185555, -1.1265033661300166, 0.23499419444023084, -0.23496715894633116]
[  15.95804014 -114.36502995   23.93608129];[1.322775351529608, -1.1102994759466869, -0.0022926153471519647, -0.22593174827232293]
[  15.96155863 -114.35122263   31.91854566];[1.5055030056474088, -1.0821250338871744, -0.24341115516579168, -0.2090442096465806]
[   7.98046627 -114.35123418   31.9168402 ];[1.5167015468804597, -0.8778976430430988, -0.24085052541281915, -0.4384907191269354]
[   7.97862938 -114.36487798   23.93468057];[1.3323396377988148, -0.903292175075399, 0.0009863353551849835, -0.45814350920646507]
[   7.97662149 -114.38441621   15.95310111];[1.1348671080993844, -0.9176755182672017, 0.23919208836775577, -0.4689172993648665]
[   7.97478473 -114.40491691    7.97478528];[0.9243486792624871, -0.9243632220088919, 0.4737022174079694, -0.47371729928065887]
