# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle;Real Position
[ -23.94132576 -106.424645     14.36328205];[1.3151419901137262, -0.13799248863986494, 0.4408448557978859, -1.5763902066612756];[-25.94, -111.88, 13.45]
[ -23.9438023  -106.41809453   20.75065321];[1.4833099191490664, -0.13660979082070987, 0.23667264672839625, -1.5689020101403328];[-26.01, -111.55, 20.28]
[ -23.94721005 -106.40690903   27.14076571];[1.6385437417783635, -0.1316377090591323, 0.03277900761053475, -1.553926566882987];[-26.08, -111.04, 26.77]
[ -23.9512925  -106.39239117   33.53268438];[1.7815342686240343, -0.12134749440083334, -0.17121566948654227, -1.5287873146159705];[-25.94, -110.52, 33.07]
[ -23.95571058 -106.37741825   39.92458249];[1.9140300381079043, -0.10430808717689272, -0.37682217631604265, -1.4913116489812261];[-25.84, -110.15, 39.21]
[ -17.56383503 -106.38568364   36.72627414];[1.8633895160563336, -0.31397021235528466, -0.27248829184015194, -1.3535781695732583];[-19.6, -110.19, 36.86]
[ -17.56045483 -106.40031111   30.3344678 ];[1.724035205145776, -0.32978421589730444, -0.06708977420892387, -1.3827885637640995];[-19.41, -110.88, 30.45]
[ -17.5573458  -106.41480162   23.94342299];[1.5736638695498433, -0.3388705212586264, 0.1377297364470998, -1.4010947586291622];[-19.19, -111.23, 24.03]
[ -17.55367359 -106.43674271   17.55367364];[1.4104930506316729, -0.3427143451887549, 0.3427143436420767, -1.4104931136577676];[-19.0, -111.69, 17.46]
[ -17.55192519 -106.4432354    11.16852932];[1.2350639796321456, -0.3436288841698931, 0.5479103866428017, -1.4145733899325832];[-18.97, -111.91, 10.96]
[ -17.55061203 -106.44944278    4.78587751];[1.0479914486718351, -0.3432872790025011, 0.7515015003624345, -1.4155836381127926];[-18.95, -112.14, 4.34]
[ -17.55013059 -106.45259634   -1.59522744];[0.8518679423016458, -0.34311177984682384, 0.9508331736942385, -1.4156086031778008];[-19.0, -112.23, -2.4]
[ -17.5512118  -106.44634088   -7.97693156];[0.6500564125869857, -0.3435092587865816, 1.1428534127618744, -1.4153097835318218];[-19.0, -112.23, -9.32]
[ -17.55274725 -106.44005897  -14.36076373];[0.44538164329915864, -0.3434431551052891, 1.3243414445901314, -1.4130821061608665];[-18.94, -112.12, -16.17]
[ -17.55550324 -106.42560363  -20.74817844];[0.24018559276397455, -0.3413186930133526, 1.493698100187768, -1.4067143380966844];[-18.89, -111.82, -22.54]
[ -17.55887322 -106.40753567  -27.138764  ];[0.03531186732089661, -0.33507743991317085, 1.6503481319474287, -1.3931791336953057];[-18.92, -111.37, -28.78]
[ -17.56210371 -106.39305089  -33.53036524];[-0.16961929945553222, -0.3228031194660621, 1.7949530686374076, -1.3696624351211946];[-18.9, -110.82, -34.21]
[ -17.56566548 -106.37814254  -39.92199965];[-0.37597473768842304, -0.30314080469160065, 1.9296887581976339, -1.3343443640167683];[-18.8, -110.49, -40.5]
[ -11.17584158 -106.38574884  -36.72437866];[-0.27323243132730124, -0.5137740553437263, 1.870933719800723, -1.1825802259999163];[-12.3, -110.62, -37.9]
[ -11.17353212 -106.40032304  -30.33284219];[-0.06734192264243592, -0.5321400822755848, 1.73005998522658, -1.209784960702839];[-12.21, -111.35, -32.76]
[ -11.17143785 -106.41477622  -23.94209301];[0.13807455888381726, -0.54305137937058, 1.5786557136886363, -1.2267247013526332];[-12.12, -111.8, -26.46]
[ -11.16901104 -106.43647767  -17.5526631 ];[0.34373798228643065, -0.5480473143794896, 1.4148096942853075, -1.2352884988538835];[-12.15, -112.15, -20.01]
[ -11.16662401 -106.46003996  -11.16662404];[0.5493017651448193, -0.5493017863132698, 1.2383075341059981, -1.238307607812346];[-12.17, -112.39, -13.54]
[ -11.16573469 -106.46649997   -4.78502897];[0.7535089267585438, -0.5492612857104476, 1.0507879544725522, -1.2390800498128203];[-12.24, -112.53, -6.95]
[ -11.16540514 -106.46979189    1.59494063];[0.9533861158604521, -0.5491308287773807, 0.8541582519899897, -1.239062174456744];[-12.38, -112.56, -0.37]
[ -11.16614148 -106.4632694     7.9755416 ];[1.1458767668867986, -0.549371875150531, 0.6517622263935048, -1.2388974754409832];[-12.51, -112.56, 6.53]
[ -11.16781026 -106.44801995   14.35917155];[1.3281099634744151, -0.5490064662619103, 0.4466089575201334, -1.23731581777521];[-12.59, -112.34, 13.24]
[ -11.1702259  -106.42533175   20.74702208];[1.4983238468099611, -0.5461533329653646, 0.24086406874662686, -1.2318759600362021];[-12.67, -111.94, 20.04]
[ -11.17246277 -106.40752806   27.13728386];[1.6558034031797804, -0.5384332016673515, 0.03534696762479882, -1.219420254946269];[-12.84, -111.4, 26.4]
[ -11.17465507 -106.39308614   33.52860031];[1.801669783953198, -0.5239767373375592, -0.1701325983736508, -1.1975741406177878];[-12.53, -110.85, 32.37]
[ -11.17710226 -106.37824768   39.91998649];[1.9382065641488786, -0.5013850354099152, -0.37691357021336375, -1.1646263046453391];[-12.31, -110.35, 38.88]
[  -4.78932976 -106.38559174   36.72323648];[1.8741045272950627, -0.7118403624654497, -0.2742992510566017, -1.000344669127946];[-5.66, -110.5, 36.09]
[  -4.78829524 -106.40012099   30.33187805];[1.732291534441896, -0.7328873948082091, -0.06818305375491555, -1.0252720863353182];[-5.74, -111.18, 30.43]
[  -4.78736443 -106.41454003   23.94132003];[1.5802657210227757, -0.7456770706650049, 0.13751401891590026, -1.0406978563472657];[-5.5, -111.63, 24.43]
[  -4.78629845 -106.43607849   17.55209045];[1.4160454383497947, -0.7518254331947214, 0.34349834043691196, -1.0483931500599084];[-5.44, -112.06, 17.82]
[  -4.7852504  -106.45961874   11.16624241];[1.2393025309684262, -0.7536725683986785, 0.5493950422624165, -1.0509915711571858];[-5.32, -112.33, 11.14]
[  -4.78423896 -106.48523845    4.78423897];[1.0510130354954557, -0.7534642861187504, 0.753464242862388, -1.051013000182759];[-5.23, -112.55, 4.36]
[  -4.78408891 -106.48866252   -1.5946741 ];[0.8542121358573088, -0.7533731667238178, 0.9535290538455654, -1.0509668378075534];[-5.14, -112.63, -2.4]
[  -4.78473863 -106.47215587   -7.97476802];[0.6518155808797513, -0.7537014839561991, 1.1464797398276665, -1.0511854036936823];[-5.17, -112.64, -9.14]
[  -4.78577083 -106.44761161  -14.35869249];[0.44653572930132457, -0.7531396779479912, 1.329214635483618, -1.0501645056408564];[-5.21, -112.51, -16.03]
[  -4.78683358 -106.42493874  -20.74635903];[0.24046166484857975, -0.7494373571904535, 1.499725388222143, -1.045349405549245];[-5.05, -112.24, -22.51]
[  -4.78781894 -106.40730837  -27.13641443];[0.03464048976353079, -0.7402150217482386, 1.6576886294470377, -1.0340630223898464];[-4.73, -111.76, -28.78]
[  -4.78879741 -106.39290435  -33.52754458];[-0.17109474721995963, -0.7234880334862556, 1.8043276266932333, -1.0140970527004474];[-4.75, -111.16, -33.7]
[  -4.78989678 -106.37812178  -39.91876583];[-0.3780651497751895, -0.6977925778591216, 1.941981755274694, -0.9838504103713702];[-4.79, -110.79, -40.28]
[   1.59642075 -106.38554083  -36.72299917];[-0.2745742161227634, -0.9058153476127379, 1.8746427686951472, -0.809517670631754];[2.14, -110.83, -37.89]
[   1.59607269 -106.40005924  -30.33167902];[-0.06841782640210192, -0.929497620990525, 1.7326322539235635, -0.8318997928926584];[2.74, -111.45, -32.55]
[   1.59576001 -106.41446997  -23.94116182];[0.13733012151643517, -0.9440883034698032, 1.5804769582298632, -0.8456077203547863];[2.72, -111.86, -26.38]
[   1.59540281 -106.43597265  -17.55197458];[0.34337296789345445, -0.9513022412078002, 1.416181375689397, -0.8523044710358072];[2.57, -112.18, -19.95]
[   1.59505165 -106.45950576  -11.16616601];[0.5493299583300159, -0.9536716106506306, 1.2393938596568583, -0.8544235883369161];[2.47, -112.37, -13.41]
[   1.59471287 -106.48511343   -4.78420482];[0.75345603673267, -0.9536262917200526, 1.051070257324603, -0.8543023749202785];[2.35, -112.5, -6.76]
[   1.59455139 -106.49869218    1.5945514 ];[0.9532898853095195, -0.9532898846715401, 0.8539710394255173, -0.8539710039349914];[2.24, -112.55, -0.12]
[   1.59488024 -106.47203758    7.97471232];[1.1465538730280955, -0.9538167440838976, 0.6517796958970331, -0.8545140445705114];[2.13, -112.52, 6.75]
[   1.59522599 -106.44750271   14.35859609];[1.3293257226071455, -0.9529334545882691, 0.4464405461429133, -0.8537832946938058];[2.04, -112.27, 13.54]
[   1.59558224 -106.42483521   20.74622413];[1.4998940872278805, -0.948461721881688, 0.24030654920603595, -0.8496830374040565];[2.17, -111.89, 20.36]
[   1.59591263 -106.40724236   27.13623565];[1.657956819070888, -0.9378234621459369, 0.034430011825923604, -0.8397355302536202];[2.43, -111.27, 26.49]
[   1.5962416  -106.39284747   33.52732587];[1.8047578428320432, -0.9188904710233942, -0.17135130538473614, -0.8218875758408288];[2.33, -110.67, 32.12]
[   1.59661168 -106.37807815   39.9185116 ];[1.9426471731848522, -0.8901124156690938, -0.37835468532626243, -0.7946347484027981];[2.37, -110.29, 38.58]
[   7.98243412 -106.38567342   36.72370196];[1.8729303434855025, -1.0927196210420578, -0.2738121014017795, -0.6131505232789359];[8.64, -110.22, 36.0]
[   7.98074088 -106.40022233   30.33226971];[1.7315024325931174, -1.1188230446997673, -0.06778142197485021, -0.63285103018729];[9.15, -110.81, 30.6]
[   7.97921262 -106.41465655   23.94163267];[1.5797301705114588, -1.1350309659975635, 0.13780845865464467, -0.6447026691904081];[9.13, -111.25, 24.37]
[   7.97745401 -106.43626318   17.55232076];[1.415659874822189, -1.143173326655312, 0.34366991782707473, -0.6502804168331064];[9.25, -111.7, 17.68]
[   7.97572458 -106.45981494   11.1663951 ];[1.239009735889828, -1.1459848140383098, 0.5494395558408239, -0.6518373900751359];[9.34, -112.0, 11.01]
[   7.97458049 -106.47565216    4.7846253 ];[1.0510827547243122, -1.1463717984724868, 0.7536190435408882, -0.6517407623728846];[9.37, -112.23, 4.2]
[   7.97433735 -106.4790113    -1.59480443];[0.8543356551048117, -1.1463391097943558, 0.9536246372778705, -0.6516309655460506];[9.42, -112.36, -2.6]
[   7.97487959 -106.47236082   -7.9748796 ];[0.6517981768174741, -1.1462243210960725, 1.1462243219996433, -0.6517981976569582];[9.43, -112.35, -9.4]
[   7.97658365 -106.44780114  -14.35888465];[0.4466437294654445, -1.1450749502924618, 1.3288801653538524, -0.6514203523446158];[9.42, -112.24, -16.19]
[   7.97833584 -106.42511995  -20.74662642];[0.2406955379850776, -1.1399404852482675, 1.4992738876945024, -0.6481363888939136];[9.45, -111.91, -22.61]
[   7.97995955 -106.40741755  -27.13676689];[0.034990734271856755, -1.1280502939177346, 1.6570410828814137, -0.6396612673149944];[9.68, -111.38, -28.88]
[   7.98156334 -106.39299681  -33.5279742 ];[-0.17064709106337694, -1.1071128985904155, 1.8033638274043986, -0.6240716016062974];[9.61, -110.92, -34.56]
[   7.9833607  -106.37819002  -39.9192639 ];[-0.37754642927343063, -1.0754729566913102, 1.9405596735472945, -0.5999386864076716];[9.36, -110.55, -40.88]
[  14.369629   -106.38576979  -36.72524428];[-0.2727254089465434, -1.2696149912128811, 1.8678564766073138, -0.4139800867281144];[15.91, -110.36, -38.43]
[  14.36675572 -106.40037123  -30.33358031];[-0.067041508440134, -1.2978507035242624, 1.727682398044719, -0.4310448329547668];[16.21, -110.89, -32.59]
[  14.36413368 -106.41484403  -23.94269261];[0.13812267128012756, -1.315483375645976, 1.5767489261730774, -0.4410296816963939];[16.31, -111.17, -26.23]
[  14.36106841 -106.43665949  -17.55311477];[0.34349895463365515, -1.324458699705902, 1.4132019327285048, -0.44544424903202634];[16.23, -111.47, -19.9]
[  14.35885789 -106.4514426   -11.16756333];[0.5489379994351944, -1.3279937341816426, 1.2372029292659839, -0.4465476791781516];[16.31, -111.68, -13.45]
[  14.35774895 -106.45777842   -4.78544679];[0.7528955934723849, -1.3288733978854141, 1.0498612836425438, -0.446357244904693];[16.25, -111.82, -6.82]
[  14.35734    -106.46100183    1.59508167];[0.9525556612921081, -1.328873890662278, 0.8534319822719867, -0.44620462313604065];[16.17, -111.83, -0.12]
[  14.35825586 -106.45461122    7.97622637];[1.144860390486925, -1.3286503775124063, 0.6512705446502267, -0.44652312891629453];[16.03, -111.74, 6.93]
[  14.3595523  -106.44820247   14.35955232];[1.3266152020146076, -1.3266151775268509, 0.4462201535894048, -0.4462201790204211];[15.93, -111.48, 13.8]
[  14.36259959 -106.42551409   20.747541  ];[1.4965806397376389, -1.3208677189606473, 0.24077086976203885, -0.4438012272114975];[15.91, -111.05, 20.51]
[  14.36541912 -106.40758643   27.13795363];[1.6536863696126385, -1.3078706579508421, 0.035526005324920215, -0.43682975693445275];[16.05, -110.59, 26.67]
[  14.36815479 -106.39312225   33.52940414];[1.798973974849765, -1.2851704725212774, -0.16972227150831598, -0.42348364306021247];[15.89, -110.04, 33.03]
[  14.37119204 -106.37824881   39.92090798];[1.934680051047246, -1.2510000705939124, -0.3763259280236515, -0.4023884838783275];[15.65, -109.63, 39.01]
[  20.7584567  -106.3854402    36.72744424];[1.857197308490693, -1.4343013908159794, -0.27273493626622064, -0.2138738643370587];[22.03, -109.41, 36.7]
[  20.75462593 -106.40009123   30.3354896 ];[1.71875890270703, -1.464452562473981, -0.06771159046670308, -0.22850062474857682];[22.34, -109.9, 30.64]
[  20.7510544  -106.41472161   23.94425997];[1.5690271047882403, -1.4834335738635174, 0.13665644367383317, -0.23672515529231702];[22.43, -110.18, 24.28]
[  20.74776312 -106.42898713   17.55514723];[1.4065935313807838, -1.4935753279317403, 0.34126153856049524, -0.24013480983488997];[22.54, -110.68, 17.8]
[  20.74576456 -106.43534614   11.16952211];[1.2315412895197222, -1.4979658122804325, 0.545948159650233, -0.24071877749566037];[22.76, -111.0, 11.08]
[  20.74426124 -106.44142155    4.78632166];[1.0448507608500388, -1.499143004039457, 0.7490343791618147, -0.24022834147787342];[22.88, -111.31, 4.21]
[  20.74371379 -106.44450437   -1.59537729];[0.8491627609868495, -1.4992011408272026, 0.9479029466664195, -0.24002967970821765];[22.98, -111.42, -2.89]
[  20.74494715 -106.43838648   -7.97765773];[0.6478386413881949, -1.4988027346299213, 1.1395167540107969, -0.24050568710198889];[22.92, -111.4, -9.8]
[  20.74670564 -106.43223529  -14.3620058 ];[0.4436759272770317, -1.496338495503824, 1.3206346387844599, -0.24067168238184036];[22.83, -111.26, -16.49]
[  20.74893097 -106.42554281  -20.748931  ];[0.23886336063762223, -1.489308298229603, 1.489308294468854, -0.2388633972853596];[22.77, -111.01, -22.9]
[  20.75282091 -106.40732348  -27.13970407];[0.03447340847280381, -1.4752120946006488, 1.645422630458189, -0.2333242384509383];[22.8, -110.63, -29.19]
[  20.75649877 -106.39282103  -33.53146412];[-0.1700430226788779, -1.4508921441326086, 1.7892576047554376, -0.22207133139437962];[22.59, -110.01, -35.64]
[  20.76051931 -106.37787981  -39.92323298];[-0.3760687253656939, -1.4144813982758437, 1.9229142169875006, -0.20376408134110185];[22.35, -109.58, -42.06]
[  27.14872661 -106.38432567  -36.73012662];[-0.27554527255335465, -1.585763271707781, 1.8382826863385442, -0.013567785700287938];[28.34, -109.39, -39.63]
[  27.14414199 -106.39902168  -30.33789215];[-0.07157286738857943, -1.617812235451338, 1.701890361257959, -0.026042857853943974];[28.64, -109.71, -33.36]
[  27.14071407 -106.40725962  -23.9471642 ];[0.13163272359835917, -1.6385305365005303, 1.5539134609816097, -0.032774597176344844];[28.64, -109.96, -27.04]
[  27.13776837 -106.41409016  -17.55820764];[0.334963879242657, -1.6501039489171159, 1.392943617095197, -0.03523204731189314];[28.73, -110.28, -20.61]
[  27.13531641 -106.42017468  -11.171605  ];[0.5381694998565272, -1.6553391096407073, 1.2189950471041895, -0.03519963853563143];[28.93, -110.63, -13.94]
[  27.13346807 -106.42597823   -4.78725936];[0.7397533727130583, -1.6570109801439064, 1.0334944173506952, -0.03442995073751953];[29.17, -110.84, -6.88]
[  27.13280489 -106.42891642    1.59569469];[0.9372029908464359, -1.6571722991698388, 0.8391568478648042, -0.03418741859977603];[29.15, -110.85, 0.28]
[  27.13430941 -106.42308082    7.97918688];[1.1275469845650703, -1.6564696990874521, 0.6393047324065078, -0.03481167228638485];[28.85, -110.7, 7.49]
[  27.13647439 -106.41719887   14.36459954];[1.3075353295762742, -1.653330834182868, 0.43664677157193693, -0.035411612346073096];[28.73, -110.39, 14.09]
[  27.13918505 -106.41079166   20.75241611];[1.47508471266861, -1.6452926100814151, 0.23326951255782574, -0.0344301963034519];[28.71, -109.99, 20.66]
[  27.14194456 -106.40626685   27.1419446 ];[1.6293651429535123, -1.629365087710494, 0.03000828304577008, -0.030008359088340486];[28.62, -109.52, 27.08]
[  27.14639599 -106.39173307   33.53401442];[1.771444809400189, -1.6033585902991974, -0.17335102387631474, -0.020616518111817195];[28.61, -109.07, 33.42]
[  27.1511581  -106.37672628   39.9260279 ];[1.9027187213176453, -1.564813329626174, -0.378444372206882, -0.004751825873510085];[28.38, -108.72, 39.58]
[  33.5396113  -106.38224624   36.73319129];[1.8085866893543667, -1.7242506315563277, -0.2827856169877226, 0.1873665984747891];[34.83, -108.63, 37.29]
[  33.53544826 -106.39083363   30.34168178];[1.6746943336307483, -1.7586774824442348, -0.08020976561951651, 0.17664832380173656];[34.93, -108.9, 30.57]
[  33.53259636 -106.392897     23.95122919];[1.5287684959931136, -1.7815150757910196, 0.12134007048711701, 0.17122089670397728];[34.89, -109.22, 24.27]
[  33.52921969 -106.3994307    17.5614848 ];[1.3694343924686114, -1.7947133081085107, 0.32269072620352396, 0.16968162002765735];[34.72, -109.54, 17.66]
[  33.52636359 -106.40523818   11.17386858];[1.1971678332651807, -1.8012192393540436, 0.5237213149432198, 0.17024445741364558];[34.34, -109.79, 11.0]
[  33.5242073  -106.41076445    4.78828702];[1.0135554415170156, -1.8036725245277614, 0.723045814697381, 0.17125228995028963];[33.75, -110.04, 3.86]
[  33.52344437 -106.41355397   -1.59604311];[0.8213353712952589, -1.8040001954672062, 0.9182995118090517, 0.1715321457950021];[33.69, -110.09, -3.29]
[  33.52518654 -106.4080077    -7.9808571 ];[0.6237284030854768, -1.8028107129124413, 1.1066329864937599, 0.17078197720867433];[34.08, -110.17, -10.35]
[  33.52771588 -106.40239909  -14.36739962];[0.42330489872692467, -1.7986276507284331, 1.2848485884919378, 0.16981019986790769];[34.46, -109.99, -17.26]
[  33.53085275 -106.39627799  -20.75611302];[0.22201559080143407, -1.7891268891304146, 1.450765756552645, 0.17007789581768848];[34.72, -109.72, -23.85]
[  33.53401442 -106.39173266  -27.14639607];[0.020616417597741476, -1.7714448189095067, 1.6033586468201637, 0.17335102402149738];[34.41, -109.66, -30.06]
[  33.53698611 -106.38969709  -33.53698618];[-0.1812887541665565, -1.7429524851182203, 1.7429524690713034, 0.181288754098884];[33.87, -109.83, -35.7]
[  33.54231446 -106.37458833  -39.9291588 ];[-0.38507280373534714, -1.70211220036987, 1.8716480149365482, 0.19509843611168604];[33.41, -110.08, -41.17]
[  39.93083904 -106.37314169  -36.73767943];[-0.29578536865954386, -1.8513655784296563, 1.7662169110773813, 0.39043107806607485];[38.0, -110.12, -38.96]
[  39.92755547 -106.37578455  -30.34674399];[-0.0949967029365159, -1.888682459186096, 1.6350395773614712, 0.3811335076378177];[39.08, -109.48, -33.25]
[  39.92443689 -106.37813515  -23.95562572];[0.10429737615330933, -1.9140028730529806, 1.4912853760307079, 0.3768281310426517];[39.63, -109.46, -26.7]
[  39.92069138 -106.38438838  -17.56509475];[0.3030299848013865, -1.9294544649100724, 1.3341251402275605, 0.3760222084923424];[39.54, -109.59, -20.32]
[  39.91747746 -106.38993136  -11.17639207];[0.5011400562560431, -1.9377734243969031, 1.1642429093996425, 0.3769953149518534];[39.06, -109.88, -13.46]
[  39.91504514 -106.39518413   -4.78943964];[0.6973742957829664, -1.9413550337672298, 0.9833418040867955, 0.3781777184835783];[38.58, -109.97, -6.41]
[  39.91419219 -106.3978217     1.59643431];[0.889557572347711, -1.941923510377061, 0.7941150120058544, 0.37848316013496636];[38.32, -109.93, 0.45]
[  39.91614828 -106.39256767    7.98272604];[1.0750216199346834, -1.94002946525444, 0.5996120317164172, 0.3776437315314164];[38.49, -109.77, 7.26]
[  39.91900266 -106.38722341   14.37050498];[1.250694491101615, -1.9343452869109268, 0.402215173130668, 0.3763913302510171];[38.81, -109.49, 13.85]
[  39.92251206 -106.38137367   20.76015143];[1.4143559046634904, -1.9227824175402497, 0.20370704353368746, 0.3760965037569163];[39.26, -109.1, 20.39]
[  39.9260279  -106.37672583   27.15115818];[1.5648133640370179, -1.9027187381182433, 0.004751737308496279, 0.3784444484949778];[39.55, -108.49, 27.0]
[  39.9291588  -106.37458789   33.5423146 ];[1.7021122165900417, -1.8716480654218406, -0.195098428202804, 0.38507286390227763];[39.56, -108.13, 33.36]
[  39.93260477 -106.37146197   39.93260486];[1.827600636988241, -1.827600646697851, -0.39736471741603163, 0.3973647611623521];[39.46, -107.78, 39.71]
[  36.72040256 -112.7469811    36.72040263];[1.5708419834435785, -1.5708420458983272, -0.3925709391938618, 0.39257097341482694];[36.3, -113.79, 36.75]
[  36.71720974 -112.74961018   30.33490402];[1.4388517021598113, -1.609329263222094, -0.19815352614324272, 0.379596919935667];[36.28, -114.45, 30.48]
[  36.7143181  -112.75144602   23.94810478];[1.2974268088282046, -1.6369997737950177, -0.0074004709774835795, 0.37168566694033106];[36.16, -114.67, 23.95]
[  36.71065373 -112.75725626   17.56069802];[1.1459102931895147, -1.6555263974234202, 0.18074617840334445, 0.36751209437279236];[36.07, -115.0, 17.53]
[  36.70754345 -112.76245301   11.17417537];[0.9848645023002718, -1.6668634359837078, 0.3665474636572895, 0.3657095093719016];[35.56, -115.27, 10.69]
[  36.70515534 -112.76739303    4.78864281];[0.8154383224334624, -1.6725183901041816, 0.5493959177749592, 0.3651460035541718];[35.23, -115.52, 3.86]
[  36.70427681 -112.76985935   -1.59617854];[0.6393360158989856, -1.673543884930612, 0.728086764028989, 0.3650811626155867];[35.32, -115.64, -3.12]
[  36.7062493  -112.76493452   -7.98129438];[0.4584069677593933, -1.6703250624157018, 0.9011038061228024, 0.3653301213836418];[35.43, -115.61, -9.99]
[  36.70901871 -112.75990867  -14.36730964];[0.273960309536556, -1.6619898775652326, 1.0665221744934437, 0.3663921397949615];[35.68, -115.46, -16.6]
[  36.71242698 -112.7544498   -20.75431468];[0.08695851410605186, -1.647269442329934, 1.22290397219442, 0.3692217896250799];[36.07, -115.24, -23.37]
[  36.71575122 -112.75049959  -27.14159597];[-0.10241148327738771, -1.6244054340532266, 1.3693762942518717, 0.3750918177244613];[36.25, -114.91, -29.96]
[  36.71876142 -112.74844513  -33.52791058];[-0.2947937052683354, -1.5915521910476573, 1.5059560185353928, 0.3853674628105877];[35.87, -114.85, -35.91]
[  36.72338241 -112.73973876  -39.91351381];[-0.49175918678232894, -1.547150542734522, 1.6339259352455566, 0.40132512420005145];[35.32, -114.92, -42.05]
[  30.33490393 -112.74961056  -36.71720972];[-0.3795968505086921, -1.4388516379715177, 1.6093292082928718, 0.19815345404010132];[30.81, -114.63, -39.97]
[  30.32981454 -112.76247791  -30.32981455];[-0.18393796960610678, -1.4742239977823581, 1.4742240619839964, 0.18393789902331154];[30.85, -115.27, -33.4]
[  30.32716971 -112.76378855  -23.94384273];[0.008531477098610959, -1.4995240220386237, 1.3304380762218364, 0.17496758979764493];[31.22, -115.6, -27.05]
[  30.32388779 -112.76967086  -17.55731248];[0.19869368507945478, -1.5160564450662222, 1.1766881212495055, 0.1700623277048123];[31.32, -115.93, -20.53]
[  30.32113879 -112.7749799   -11.17187384];[0.3867404108383297, -1.525889188293896, 1.013399758275028, 0.1678080815877594];[31.12, -116.2, -13.91]
[  30.31904551 -112.78009015   -4.78760971];[0.5719736919945906, -1.5306512820014229, 0.8416407353932444, 0.16702481434589445];[30.8, -116.36, -6.86]
[  30.3182788  -112.78267135    1.59582916];[0.753087853782061, -1.531491381973966, 0.6631255645030895, 0.16692327092906672];[30.79, -116.38, 0.41]
[  30.32000274 -112.77753765    7.97960726];[0.9284854883546242, -1.5288209218882614, 0.47978131211161806, 0.1672929716174387];[30.94, -116.21, 7.42]
[  30.32243903 -112.77237366   14.36444054];[1.0961870056544822, -1.5216990287547654, 0.2930068952549283, 0.16868451843753168];[31.16, -115.89, 14.06]
[  30.32546933 -112.76682362   20.75046519];[1.2547912520211146, -1.508742747785045, 0.10386463443678244, 0.1721004761372966];[31.47, -115.47, 20.55]
[  30.32844142 -112.7632172    27.13688406];[1.403533095015832, -1.488065466609824, -0.08738195360050978, 0.1788650522960871];[31.56, -115.15, 26.89]
[  30.33231823 -112.75619721   33.52362708];[1.5428245884142346, -1.4579588435901005, -0.281246373676908, 0.1902943282917692];[31.56, -114.69, 33.13]
[  30.33758638 -112.74263878   39.91034935];[1.6739864213568998, -1.4166722157056908, -0.47928745733105027, 0.2076763195588187];[31.38, -114.37, 39.26]
[  23.94815025 -112.75114143   36.71439343];[1.6370109528216603, -1.297437166235804, -0.37168323135700626, 0.0073961630359579145];[24.99, -114.56, 36.86]
[  23.94385184 -112.76373011   30.32718157];[1.4995262133305132, -1.3304400642374148, -0.17496705511377214, -0.00853234214179685];[25.07, -115.21, 30.67]
[  23.93986926 -112.7754653    23.93986926];[1.353395365990648, -1.353395275665825, 0.018701960231558762, -0.018702034560917208];[25.19, -115.66, 24.28]
[  23.93709119 -112.78134068   17.5542135 ];[1.1979015706719, -1.3683440566466099, 0.21039408696165168, -0.02454478853243247];[25.24, -116.1, 17.82]
[  23.93477383 -112.78679752   11.16978555];[1.0329333331070658, -1.3770137455835951, 0.40012708634747124, -0.02738619842560011];[25.74, -116.53, 10.81]
[  23.93301988 -112.79209029    4.78667674];[0.8594619224690819, -1.3810981305857335, 0.5871324913009136, -0.028462075925149405];[26.02, -116.86, 4.06]
[  23.93237767 -112.79478268   -1.59551392];[0.6791777305708561, -1.3817988848362817, 0.7700293315309235, -0.0286142563673763];[26.14, -117.02, -3.2]
[  23.93382137 -112.78944079   -7.97808084];[0.4940483217585504, -1.3795420188863687, 0.9471704287002838, -0.028081207630188343];[25.96, -116.9, -10.1]
[  23.9358673  -112.78411443  -14.36182714];[0.30553491306479497, -1.3733483361058227, 1.1165598859273984, -0.026256603192135963];[25.73, -116.62, -16.93]
[  23.93843545 -112.77842688  -20.74692067];[0.11477729098414864, -1.3617743026527842, 1.2768615196598223, -0.02208556305591519];[25.53, -116.21, -23.52]
[  23.94182419 -112.76967481  -27.13345989];[-0.07783551631343594, -1.3430609389973094, 1.4276207530792908, -0.014253823234232271];[25.36, -115.85, -29.73]
[  23.94595727 -112.75757346  -33.5208846 ];[-0.27284467891885555, -1.3153053528189713, 1.56925454832099, -0.0013695088841234049];[25.24, -115.41, -35.99]
[  23.95044436 -112.74436117  -39.90750258];[-0.4717666442779817, -1.2766190301482878, 1.7030665177667454, 0.01792287663680331];[25.22, -114.99, -42.22]
[  17.56130195 -112.75181825  -36.71203117];[-0.3674731308511456, -1.1460865628457695, 1.6557257151003641, -0.18083614849758775];[18.97, -115.3, -39.73]
[  17.55795069 -112.76419355  -30.32502868];[-0.17000885071014546, -1.1768684151639643, 1.5162529357408614, -0.19878323314801338];[18.96, -115.92, -33.47]
[  17.55488516 -112.77579541  -23.93801533];[0.024614317571120287, -1.198084825675009, 1.3685363646262778, -0.2104829205955001];[18.92, -116.39, -27.14]
