# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle;Real Position
[-17.56150094 -93.63430024  36.74909489];[2.326879675932483, -0.5970770661073461, -0.07868158347369737, -1.8329368464974929];[-19.63, -99.37, 35.57]
[-17.55795348 -93.65768234  30.34726591];[2.1945335520034757, -0.610783788370763, 0.14635918200163003, -1.8609632566533745];[-19.36, -99.63, 30.24]
[-17.55489652 -93.68132277  23.94752411];[2.0443955285811404, -0.6157940875864145, 0.3767116644402073, -1.8733204612884968];[-19.15, -99.92, 23.9]
[-17.55153456 -93.71237508  17.55153459];[1.8726548121098912, -0.6137690096791475, 0.6137689510075874, -1.8726547986793174];[-19.01, -100.14, 17.43]
[-17.55034229 -93.72309168  11.16393429];[1.678220870355872, -0.6083217985652171, 0.857478243461568, -1.8654015210885766];[-18.88, -100.3, 10.67]
[-17.54972558 -93.7290601    4.782994  ];[1.4609202954346299, -0.6032052356755095, 1.1037376290168124, -1.8578195889063138];[-18.82, -100.41, 4.09]
[-17.54953635 -93.73098734  -1.59420908];[1.225556613443567, -0.6019485865316061, 1.3450044022889307, -1.8559008881188372];[-18.82, -100.52, -2.53]
[-17.54998127 -93.72653716  -7.97274891];[0.9806865574177848, -0.6054646311793509, 1.572241981732275, -1.861214227121077];[-18.84, -100.66, -9.21]
[-17.5508479  -93.71844145 -14.35683162];[0.7349713126840501, -0.6112679868443143, 1.778411275423693, -1.8695183615710333];[-18.83, -100.69, -15.81]
[-17.55319541 -93.69664765 -20.74881151];[0.49436847850296084, -0.6154853453377299, 1.9613798840545076, -1.8743105535291638];[-18.83, -100.64, -22.38]
[-17.55641381 -93.66900225 -27.14704617];[0.26074551070545404, -0.6143002243801579, 2.121942560848584, -1.868986330242385];[-18.72, -100.4, -28.85]
[-17.55964553 -93.64611512 -33.54803635];[0.03332417485918206, -0.6050848069053194, 2.2626854345441196, -1.8490089972639134];[-18.72, -99.93, -35.01]
[-17.56352411 -93.62229239 -39.95019537];[-0.190039916224451, -0.5866777539832488, 2.38760748155985, -1.8126405441234386];[-18.44, -99.39, -40.25]
[-11.17188999 -93.63379201 -36.74794358];[-0.0848940043462898, -0.8353081562915531, 2.3219922266810413, -1.640682331965278];[-12.06, -99.38, -38.19]
[-11.16923379 -93.65775639 -30.34646569];[0.1404903498706755, -0.8520940418385332, 2.1881997071814743, -1.6672820613881048];[-11.93, -99.92, -32.71]
[-11.16697097 -93.68227014 -23.94698561];[0.3711614070619989, -0.8589560425434293, 2.0374413577773645, -1.679087225213107];[-11.98, -100.19, -26.34]
[-11.16448491 -93.71504048 -17.55110507];[0.6084733881798842, -0.8576705620024254, 1.8657398182961502, -1.678551808821773];[-12.07, -100.37, -19.89]
[-11.16197652 -93.75125008 -11.16197651];[0.8517584263306782, -0.8517585594477779, 1.6708159521328456, -1.6708158817767744];[-12.12, -100.42, -13.36]
[-11.16148549 -93.75910141  -4.78204992];[1.0977997067981944, -0.8464541409602689, 1.4541842892613746, -1.6636813138834317];[-12.19, -100.48, -6.83]
[-11.16131523 -93.76181497   1.59388203];[1.3385754676750228, -0.8451237589619279, 1.2193998542182072, -1.661858462098165];[-12.25, -100.56, -0.33]
[-11.16169475 -93.75568843   7.97125588];[1.56516908967891, -0.8488148588033595, 0.9748924979421293, -1.666881251825749];[-12.33, -100.54, 6.49]
[-11.16325659 -93.73250322  14.35557654];[1.771257560909264, -0.8550294789492908, 0.7295400220087438, -1.675201945182665];[-12.46, -100.55, 13.19]
[-11.16570979 -93.69841174  20.74833613];[1.9543737401374206, -0.8591352733101685, 0.4889559545334767, -1.6800728730890058];[-12.45, -100.39, 19.99]
[-11.16808195 -93.66958684  27.14637714];[2.1151977161975797, -0.8566825086769567, 0.2550389320710959, -1.6749225859805192];[-12.47, -100.0, 26.84]
[-11.17050102 -93.64582201  33.54707464];[2.256966828073482, -0.845013884080434, 0.027285624104379666, -1.655927134069631];[-12.84, -99.37, 32.71]
