# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[   7.3655254  -118.46667092   -0.70403236];[1.570796326794898, 1.0365118618986693, 1.6349104625824606, 1.635124176368292]
[-3.39218612e-01 -1.16658759e+02  1.38781756e-02];[1.570796326794898, 1.0474156264883896, 1.5694878750441277, 1.0351990486420724]
[-9.56901472e+00 -1.13974319e+02 -2.89031103e-04];[1.570796326794898, 1.0471931006804427, 1.5708230298918535, 0.5131579536994455]
[-2.04691481e+01 -1.10702648e+02  5.85974067e-06];[1.570796326794898, 1.0471976420234554, 1.5707957818337326, -0.010472611299988305]
[-3.15669922e+01 -1.06449342e+02 -7.88771448e-08];[1.570796326794898, 1.0471975493429921, 1.5707963379165568, -0.5340707381349997]
[-4.17397374e+01 -1.01277031e+02 -6.85677282e-08];[1.570796326794898, 1.0471975512344236, 1.5707963265679237, -1.057669526973364]
[-5.03271039e+01 -9.55533679e+01  1.59333864e-08];[1.570796326794898, 1.0471975511958211, 1.5707963267995273, -1.5812683023014575]
[   6.7740434  -123.90681166    5.96177342];[1.570796326794898, 1.0471975511966094, 1.0365118618985802, 1.6351241763682918]
[  -0.32529599 -121.81208372    5.93188061];[1.570796326794898, 1.0471975511965983, 1.0474156264883894, 1.0351990486420721]
[  -9.4761779  -119.30365008    6.05517469];[1.570796326794898, 1.0471975511965983, 1.0471931006804425, 0.5131579536994453]
[ -20.40603336 -116.06457842    6.11865838];[1.570796326794898, 1.0471975511965983, 1.0471976420234552, -0.01047261129998818]
[ -31.57342114 -111.74093307    6.17633823];[1.570796326794898, 1.0471975511965983, 1.047197549342992, -0.5340707381349996]
[ -41.7649581  -106.44866062    6.26030673];[1.570796326794898, 1.0471975511965983, 1.0471975512344234, -1.0576695269733638]
[ -50.27317157 -100.62188172    6.38529599];[1.570796326794898, 1.0471975511965983, 1.047197551195821, -1.5812683023014573]
[   6.44816445 -129.86585676   14.25190718];[1.570796326794898, 1.0471975511965983, 0.5129130863003917, 1.635124176368292]
[  -0.3140944  -128.00765489   14.25638687];[1.570796326794898, 1.0471975511965983, 0.5238168508900953, 1.0351990486420724]
[  -9.49082749 -125.62669517   14.47847077];[1.570796326794898, 1.0471975511965983, 0.5235943250821373, 0.5131579536994455]
[ -20.59798237 -122.35012397   14.60293901];[1.570796326794898, 1.0471975511965983, 0.5235988664251612, -0.010472611299988305]
[ -31.97217797 -117.83027931   14.7221207 ];[1.570796326794898, 1.0471975511965983, 0.5235987737446868, -0.5340707381349997]
[ -42.26307593 -112.24572092   14.89672987];[1.570796326794898, 1.0471975511965983, 0.5235987756361293, -1.057669526973364]
[ -50.70970787 -106.12306804   15.15671978];[1.570796326794898, 1.0471975511965983, 0.5235987755975269, -1.5812683023014575]
[   6.14714666 -136.15014907   25.20366512];[1.570796326794898, 1.0471975511965983, -0.010685689297908437, 1.6351241763682918]
[  -0.29808426 -134.57103202   25.17132414];[1.570796326794898, 1.0471975511965983, 0.00021807529179406022, 1.0351990486420721]
